candidate_id,left_record_key,right_record_key,review_decision,review_notes,reviewed_at,application_status
MC-0000F2AB3C21C8,aiddata:95864,chapo:95869,different_project,BATCH_REVIEW conflicting_canonical_event_details: The fuller source descriptions identify different events: months differ (['march'] vs ['august']).,2026-08-20T09:31:06.061922+00:00,applied
MC-00327AE38BC529,cla:ET.007,codf:ET.007,same_project,BATCH_REVIEW reviewed_same_equivalence_closure: The pair is connected by a reviewed same-project decision and equivalent source identifiers.,2026-08-26T07:30:45.138739+00:00,applied
MC-0047AFDABEE1CD,cgp:GA.001.4,cofi:GAB2021001:debt,same_project,"BATCH_REVIEW distinctive_named_asset_with_compatible_context: Distinctive name anchor(s) [grand, poubara] and matching sector energy identify the same underlying asset.",2026-08-26T07:30:45.138739+00:00,applied
MC-00A1232D6E3C27,aiddata:30440,cla:SD.083,same_project,HUMAN_REVIEW imported from browser export; this decision takes precedence over automated rules.,2026-08-20T07:23:29.910Z,applied
MC-00C5446CD913DB,cgp:CD.001.3,cofi:COD2021002:debt,same_project,BATCH_REVIEW distinctive_named_asset_with_compatible_context: Distinctive name anchor(s) [zongo] and matching sector energy identify the same underlying asset.,2026-08-26T07:30:45.138739+00:00,applied
MC-015DE846674965,cgef:ET.098,codf:ET.096,different_project,"AUTO_REVIEW conflicting_project_component_identifier: Distinct lot, loan, phase, unit, package, section or stage identifiers indicate separately recorded project components.",2026-08-12T00:00:00+08:00,applied
MC-017B9340B5CC41,cgp:NG.005.2,codf:NG.010,same_project,"BATCH_REVIEW distinctive_named_asset_with_compatible_context: Distinctive name anchor(s) [hydropower, zungeru] and shared asset family hydropower identify the same underlying asset.",2026-08-26T07:30:45.138739+00:00,applied
MC-01C292EA57782C,aiddata:31091,cla:KE.023,same_project,"BATCH_REVIEW distinctive_named_asset_with_compatible_context: Distinctive name anchor(s) [collaboration, enterprise, messaging] and shared asset family communications identify the same underlying asset.",2026-08-26T07:30:45.138739+00:00,applied
MC-0200FEFE78DE58,cgp:ZA.003.2,cofi:ZAF2023012:debt,same_project,BATCH_REVIEW distinctive_named_asset_with_compatible_context: Distinctive name anchor(s) [ingula] and matching sector energy identify the same underlying asset.,2026-08-26T07:30:45.138739+00:00,applied
MC-0202CDC967032E,cgef:ZW.018,cgp:ZW.001.2,same_project,"BATCH_REVIEW distinctive_named_asset_with_compatible_context: Distinctive name anchor(s) [hydropower, kariba, south] and shared asset family hydropower identify the same underlying asset.",2026-08-26T07:30:45.138739+00:00,applied
