metric_id,metric_label,series_variant,start_year,end_year,observations,min_segment_length,selected_segments,break_count,break_years,bic,no_break_bic,bic_improvement,transform,method,interpretation_limit
aiddata,AidData commitments,annual_total,2000,2023,24,4,4,3,2006|2012|2019,-63.40454,-31.898791,31.505749,asinh_scaled,bai_perron_style_dynamic_programming_bic_mean_shift,Descriptive candidate shifts in the longest consecutive annual run; not causal and not a formal event-date test.
aiddata,AidData commitments,coverage_normalized_mean,2000,2023,24,4,4,3,2006|2012|2019,-62.393248,-35.714779,26.678469,asinh_scaled,bai_perron_style_dynamic_programming_bic_mean_shift,Descriptive candidate shifts in the longest consecutive annual run; not causal and not a formal event-date test.
codf,CODF loan commitments,annual_total,2008,2024,17,4,3,2,2012|2019,-32.116807,-11.284904,20.831903,asinh_scaled,bai_perron_style_dynamic_programming_bic_mean_shift,Descriptive candidate shifts in the longest consecutive annual run; not causal and not a formal event-date test.
codf,CODF loan commitments,coverage_normalized_mean,2008,2024,17,4,3,2,2012|2019,-33.83236,-27.620604,6.211756,asinh_scaled,bai_perron_style_dynamic_programming_bic_mean_shift,Descriptive candidate shifts in the longest consecutive annual run; not causal and not a formal event-date test.
cla,CLA loan commitments,annual_total,2000,2024,25,4,4,3,2006|2012|2019,-49.364003,-14.013521,35.350482,asinh_scaled,bai_perron_style_dynamic_programming_bic_mean_shift,Descriptive candidate shifts in the longest consecutive annual run; not causal and not a formal event-date test.
cla,CLA loan commitments,coverage_normalized_mean,2000,2024,25,4,4,3,2006|2013|2019,-48.411757,-25.122963,23.288794,asinh_scaled,bai_perron_style_dynamic_programming_bic_mean_shift,Descriptive candidate shifts in the longest consecutive annual run; not causal and not a formal event-date test.
cofi,COFI investment,annual_total,2005,2020,16,4,2,1,2013,-8.694334,-7.066209,1.628125,asinh_scaled,bai_perron_style_dynamic_programming_bic_mean_shift,Descriptive candidate shifts in the longest consecutive annual run; not causal and not a formal event-date test.
cofi,COFI investment,coverage_normalized_mean,2005,2020,16,4,2,1,2015,-26.301831,-22.562553,3.739278,asinh_scaled,bai_perron_style_dynamic_programming_bic_mean_shift,Descriptive candidate shifts in the longest consecutive annual run; not causal and not a formal event-date test.
cgef,CGEF loan commitments,annual_total,2002,2020,19,4,2,1,2011,-5.714788,-0.076891,5.637897,asinh_scaled,bai_perron_style_dynamic_programming_bic_mean_shift,Descriptive candidate shifts in the longest consecutive annual run; not causal and not a formal event-date test.
cgef,CGEF loan commitments,coverage_normalized_mean,2002,2020,19,4,2,1,2011,-15.405642,-14.605029,0.800613,asinh_scaled,bai_perron_style_dynamic_programming_bic_mean_shift,Descriptive candidate shifts in the longest consecutive annual run; not causal and not a formal event-date test.
